Namespace,Type,Method,LOC,CC,PC
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways,DaprStoresGateway,DaprStoresGateway,9,1,3
ModernArchitectureShop.Store.Infrastructure.Dapr.Gateways,DaprStoresGateway,GetProducts,0,1,2
ModernArchitectureShop.Store.Infrastructure.Dto,AddressDto,AddressDto,7,1,5
ModernArchitectureShop.Store.Infrastructure.Dto,ProductDto,ProductDto,10,1,8
ModernArchitectureShop.Store.Infrastructure.Dto,ProductMappingProfile,ProductMappingProfile,5,1,0
ModernArchitectureShop.Store.Infrastructure.Dto,StoreMappingProfile,StoreMappingProfile,10,1,0
ModernArchitectureShop.Store.Infrastructure.Events,IDomainEventContext,GetDomainEvents,0,1,0
ModernArchitectureShop.Store.Infrastructure.Events,DomainEventDispatcher,DomainEventDispatcher,4,1,2
ModernArchitectureShop.Store.Infrastructure.Events,DomainEventDispatcher,Dispatch,8,1,1
ModernArchitectureShop.Store.Infrastructure.Events,IDomainEventDispatcher,Dispatch,0,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,DatabaseExtensions,CreateDatabase,7,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,DbExtentions,ToListAsync,9,2,2
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,ProductRepository,4,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,Remove,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,Update,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,SaveChangesAsync,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,GetAsync,3,1,2
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,AddAsync,3,1,2
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,CountAsync,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,GetProductsAsync,9,1,3
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,SearchProductsAsync,10,1,4
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,SearchProductsCountAsync,5,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,ProductRepository,GetByIdsAsync,8,1,2
ModernArchitectureShop.Store.Infrastructure.Persistence,SeedDataGenerator,GenerateSeed,44,3,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreDbContext,StoreDbContext,2,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreDbContext,OnConfiguring,5,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,StoreRepository,5,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,SeedDatabase,4,1,0
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,Remove,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,Update,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,SaveChangesAsync,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,GetAsync,3,1,2
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,AddAsync,3,1,2
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,CountAsync,3,1,1
ModernArchitectureShop.Store.Infrastructure.Persistence,StoreRepository,GetStoreQuery,6,1,0
ModernArchitectureShop.Store.Infrastructure.ServiceCollection,CustomServiceCollectionExtenstion,AddCustomDbContext,6,1,2
ModernArchitectureShop.Store.Infrastructure.ServiceCollection,CustomRequestValidationExtenstion,AddCustomRequestValidation,4,1,1
ModernArchitectureShop.Store.Infrastructure.ServiceCollection,DaprServiceCollectionExtenstion,AddCustomDapr,14,1,1
ModernArchitectureShop.Store.Infrastructure.ServiceCollection,DatabaseExtensions,CreateDatabase,8,1,1
ModernArchitectureShop.Store.Infrastructure.ServiceCollection,ServiceCollectionExtensions,AddInfrastructure,16,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore,AddOrUpdateProductStoreHandler,AddOrUpdateProductStoreHandler,4,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore,AddOrUpdateProductStoreHandler,Handle,28,3,2
ModernArchitectureShop.Store.Infrastructure.UseCases.AddOrUpdateProductStore,AddOrUpdateProductStoreValidator,AddOrUpdateProductStoreValidator,9,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.CreateProduct,CreateProductHandler,CreateProductHandler,0,1,1
ModernArchitectureShop.Store.Infrastructure.UseCases.CreateProduct,CreateProductHandler,Handle,15,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.CreateProduct,CreateProductValidator,CreateProductValidator,11,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,CreateStoreHandler,CreateStoreHandler,4,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,CreateStoreHandler,Handle,7,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,CreateStoreValidator,CreateStoreValidator,6,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProductHandler,DeleteProductHandler,0,1,1
ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProductHandler,Handle,12,2,2
ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProductRequestValidator,DeleteProductRequestValidator,7,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds,GetProductsByIdsHandler,GetProductsByIdsHandler,0,1,1
ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds,GetProductsByIdsHandler,Handle,25,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds,GetProductsByIdsValidator,GetProductsByIdsValidator,6,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts,GetProductsHandler,GetProductsHandler,4,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts,GetProductsHandler,Handle,13,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.GetProducts,GetProductsValidator,GetProductsValidator,7,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores,GetStoresHandler,GetStoresHandler,4,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores,GetStoresHandler,Handle,11,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.GetStores,GetStoresValidator,GetStoresValidator,2,1,0
ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts,SearchProductsHandler,SearchProductsHandler,4,1,2
ModernArchitectureShop.Store.Infrastructure.UseCases.SearchProducts,SearchProductsHandler,Handle,19,1,2
